#,Full Name,Pos.,Ht.,Year,Hometown,Previous School,ImageURL,Team
9,Marina Radocaj,G/F,6-3,Jr.,"Richmond, Canada",Arizona State / R.A. McMath Secondary School,https://pacifictigers.com/images/2025/10/20/Marina_Radocaj.png?width=80&quality=90,pacific
10,Sydney Ward,G/F,6-0,Sr.,"Houston, TX",The Village,https://pacifictigers.com/images/2025/10/20/Sydney_Ward.png?width=80&quality=90,pacific
11,Luisa Anderegg,F,6-2,Sr.,"Cologne, Germany",Midland College,https://pacifictigers.com/images/2025/10/20/Luisa_Anderegg.png?width=80&quality=90,pacific
15,Nyah Lowery,G,5-11,Jr.,"Sacramento, CA",Saint Mary's,https://pacifictigers.com/images/2025/10/20/Nyah_Lowery.png?width=80&quality=90,pacific
21,Daria Nestorov,G,5-4,So.,"Zrenjanin, Serbia",Gymnasium Kraljevo,https://pacifictigers.com/images/2025/10/20/Daria_Nestorov.png?width=80&quality=90,pacific
23,Kenlee Durrill,G,5-10,R-So.,"Denver, CO",Flat Irons,https://pacifictigers.com/images/2025/10/20/Kenlee_Durrill.png?width=80&quality=90,pacific
24,LaMiracle Lebon,F,6-3,Fr.,"Columbus, MS",Vanden HS,https://pacifictigers.com/images/2025/10/20/LaMiracle_Lebon.png?width=80&quality=90,pacific
25,Winner Bartholomew,F,6-1,So.,"Abuja, Nigeria",Rider,https://pacifictigers.com/images/2025/10/20/Winner_Bartholomew.png?width=80&quality=90,pacific
32,Tyla Fautua,F,6-0,So.,"Brisbane, Australia",Southern Districts Spartans,https://pacifictigers.com/images/2025/10/20/Tyla_Fautua.png?width=80&quality=90,pacific
2,Mara Neira,G,5-9,Gr.,"Baiona, Spain",Presbyterian/Appalachian State,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/2_Mara_Neira_Headshot.jpg?width=80&quality=90,usf
3,Noelia Mourino,F,6-2,Fr.,"O Porrino, Spain",Segle XXI Barcelona,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/3_Noelia_Mourino_Headshot.jpg?width=80&quality=90,usf
4,Meghan McIntyre,G,5-6,Gr.,"Garden Grove, CA",Southern Oregon/Orange Coast CC/Golden West CC,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/4_Meghan_McIntyre_Headshot.jpg?width=80&quality=90,usf
7,Nevaeh Ferrara Horne,F,6-2,Jr.,"Regina, Saskatchewan, Canada",North Dakota,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/7_Nevaeh_Ferrera_Horne_Headshot.jpg?width=80&quality=90,usf
9,Aina Cargol,G,5-9,Fr.,"Olot, Spain",Spar Girona,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/9_Aina_Cargol_Headshot.jpg?width=80&quality=90,usf
10,Amy Pateman,G,5-8,Fr.,"Auckland, New Zealand",Westlake Girls High School,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/10_Amy_Pateman_Headshot.jpg?width=80&quality=90,usf
12,Natasa Tausova,F,6-3,Fr.,"Poprad, Slovakia",Piestanske Cajky,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/12_Natasa_Tausova_Headshot.jpg?width=80&quality=90,usf
14,Michelle Ugwah,F,6-1,R-So.,"Cork, Ireland",Morehead State,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/14_Michelle_Ugwah_Headshot.jpg?width=80&quality=90,usf
21,Olivia Williams,G,6-1,R-Sr.,"South San Francisco, CA",UC Irvine,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/21_Olivia_Williams_Headshot.jpg?width=80&quality=90,usf
22,Paula Tirado,G,5-7,R-So.,"Mataro, Spain",IES Damia Campeny,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/22_Paula_Tirado_Headshot.jpg?width=80&quality=90,usf
23,Candy Edokpaigbe,G,6-0,So.,"Naples, Italy",Seattle U,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/23_Candy_Edkopaigbe_Headshot.jpg?width=80&quality=90,usf
24,Sol Castro,F,6-1,Gr.,"Rio Colorado, Argentina",Robert Morris,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/24_Sol_Castro_Headshot.jpg?width=80&quality=90,usf
32,Sophia Priestley,F,6-2,Fr.,"Oslo, Norway",Ullern IF Oslo,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/32_Sophia_Priestley_Headshot.jpg?width=80&quality=90,usf
1,Malvina Haziri,G,5-9,Fr.,"Vushtrria, Kosovo",KBF Prishtina,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Haziri__Malvina.png?width=80&quality=90,wsu
2,Eleonora Villa,G,5-8,Jr.,"Lissone, Italy",Costa Masnaga,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Villa__Eleonora.png?width=80&quality=90,wsu
5,Jean Chiu,G,5-7,Sr.,"Taipei, Taiwan",University of Taipei,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Chiu__Jean.png?width=80&quality=90,wsu
6,Tahara Magassa,F,6-4,Fr.,"Paris, France",Saint-Amand Hainut,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/wsu.sidearmsports.com/images/responsive_2020/logo_main.svg,wsu
8,Mackenzie Chatfield,G,5-9,Jr.,"Auckland, New Zealand",Western Kentucky,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Chatfield__Mackenzie.png?width=80&quality=90,wsu
9,Tanja Valancic,F,6-0,Fr.,"Ljubljana, Slovenia",Akson Ilirija,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Valancic__Tanja.png?width=80&quality=90,wsu
10,Charlotte Abraham,G,6-0,So.,"Cambrai, France",Lycee Marguerite de Flandre,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Abraham__Charlotte.png?width=80&quality=90,wsu
12,Marta Alsina,G,5-11,So.,"Barcelona, Spain",Institut Joaquim Blume,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Alsina__Marta.png?width=80&quality=90,wsu
15,Keandra Koorits,G/F,6-2,R-Fr.,"Tallinn, Estonia",Audentes Sports Gymnasium,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Koorits__Keandra.png?width=80&quality=90,wsu
25,Lauren Glazier,F,6-4,Sr.,"North Bend, WA",Mount Si HS,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Glazier__Lauren.png?width=80&quality=90,wsu
33,Alex Covill,C,6-6,Jr.,"Missoula, MT",Missoula Hellgate HS,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Covill__Alex.png?width=80&quality=90,wsu
55,Malia Ruud,F,6-2,Fr.,"Pasco, WA",Chiawana HS,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Ruud__Malia.png?width=80&quality=90,wsu
0,Goundo Diakite Bayo,F,6-1,Fr.,"Barcelona, Spain",IES Carles Vallbona,https://portlandpilots.com/images/2025/10/15/Diakite_Goundoba26web.JPG?width=80&quality=90,portland
2,Dyani Ananiev,G,6-2,R-So.,"St. Andrews, Australia",Wyndham,https://portlandpilots.com/images/2025/10/15/Ananiev_Dyani26web.JPG?width=80&quality=90,portland
3,Florence Dallow,G,6-2,R-So.,"Auckland, New Zealand",Epsom Girls Grammar School,https://portlandpilots.com/images/2025/10/15/Dallow_Florence26web.JPG?width=80&quality=90,portland
5,Aubrey Herrin,G,6-1,Fr.,"Kennewick, WA",Kamiakin HS,https://portlandpilots.com/images/2025/10/15/Herrin_Aubrey26web.JPG?width=80&quality=90,portland
7,Tiffany Barbosa,G,5-10,So.,"Stockholm, Sweden",RIG Lulea,https://portlandpilots.com/images/2025/10/15/Barbosa_Tiffany26web.jpg?width=80&quality=90,portland
9,Jada Kennedy,C,6-5,Fr.,"Melbourne, Australia",Siena College,https://portlandpilots.com/images/2025/10/15/Kennedy_Jada26web.JPG?width=80&quality=90,portland
10,Natalie Fraley,G,6-0,Sr.,"Kelso, WA",Utah State / Kelso HS,https://portlandpilots.com/images/2025/10/15/Fraley_Natalie26web.JPG?width=80&quality=90,portland
12,Brynn Smith,G,6-0,Fr.,"Eugene, OR",Willamette HS,https://portlandpilots.com/images/2025/10/15/Smith_Brynn26web.JPG?width=80&quality=90,portland
14,Caitlin Monahan,G,5-10,R-Fr.,"Mercer Island, WA",Mercer Island HS,https://portlandpilots.com/images/2025/10/15/Monahan_Caitlyn26web.JPG?width=80&quality=90,portland
17,Nicole Anderson,G,5-8,Gr.,"Eastvale, CA",LMU / SMU / Rosary Academy,https://portlandpilots.com/images/2025/10/15/Rodriguez_Nicole26web.JPG?width=80&quality=90,portland
20,Lainey Spear,F,6-2,Jr.,"Portland, OR",Beaverton HS,https://portlandpilots.com/images/2025/10/15/Spear_Lainey26web.JPG?width=80&quality=90,portland
22,Rhyan Mogel,G,5-10,Jr.,"Happy Valley, OR",Clackamas HS,https://portlandpilots.com/images/2025/10/15/Mogel_Rhyan26web.JPG?width=80&quality=90,portland
35,Camille Dake,G,6-0,Fr.,"Vista, CA",Rancho Buena Vista HS,https://portlandpilots.com/images/2025/10/15/Dake_Camille26web.jpg?width=80&quality=90,portland
42,Ella Zimmerman,F/C,6-4,So.,"Redondo Beach, CA",Redondo Union HS,https://portlandpilots.com/images/2025/10/15/Zimmerman_Ella26web.JPG?width=80&quality=90,portland
44,Julia Dalan,C/F,6-3,Fr.,"Centralia, WA",W.F. West HS,https://portlandpilots.com/images/2025/10/15/Dalan_Julia26web.JPG?width=80&quality=90,portland
0,Ysabella Von Seipler,G,5-10,Fr.,"Rocklin, CA",,https://usdtoreros.com/images/2025/10/15/Ysabella_Von_Seipler_Head_Shot.png?width=300,san diego
1,Dresha Moore,F,6-0,So.,"Hawthorne, CA",,https://usdtoreros.com/images/2025/10/15/Dresha_Moore_Headshot.png?width=80&quality=90,san diego
2,Ryanne Bahnsen-Price,F,6-0,Fr.,"Erie, CO",,https://usdtoreros.com/images/2025/10/15/Ryanne_Bahnsen-Price_Head_Shot.png?width=300,san diego
3,Lilly Amor,G,5-11,So.,"Melbourne, Victoria, Australia",,https://usdtoreros.com/images/2025/10/15/Ysabella_Von_Seipler_Head_Shot.png?width=80&quality=90,san diego
4,Jessica Ajayi,G,5-10,Fr.,"Kent, WA",,https://usdtoreros.com/images/2025/10/15/Jessica_Ajayi_Head_Shot.png?width=80&quality=90,san diego
5,Lauren McCall,G,5-6,Jr.,"Boise, ID",,https://usdtoreros.com/images/2025/10/15/Lauren_McCall_Head_Shot.png?width=80&quality=90,san diego
6,Kylie Ray,G,5-8,So.,"La Crescenta, CA",Utah,https://usdtoreros.com/images/2025/10/15/Kylie_Ray_Head_Shot.png?width=80&quality=90,san diego
